Fruit	水果
Sewing Kit	針線包
Spinach Dip	菠菜沾醬
Bikini Top	比基尼上衣
Bikini Bottom	比基尼下身
Knife	刀子
Matches	火柴
Flower	花
Hair Rejuvenator	生髮水
Suitcase	行李箱
Airline Ticket	機票
Parachute	降落傘
Bobby Pin	髮夾
Pamphlet	小冊子
Airsick Bag	嘔吐袋
Stout Stick	粗棍子
Ashes	灰燼
Oh, no! Not again?!	喔不！又來了？！
Keep On Muddling	繼續混下去
Order A Hintbook	訂購提示手冊
Al says:	艾爾說：
Yep; it's a door.	對，是扇門。
And... it's locked.	而且……鎖住了。
This door is locked.	這扇門鎖住了。
...except it's locked!	……只不過鎖住了！
Funny. No response.	奇怪，沒有反應。
Just walk near it.	走近它就行了。
Teleport to:	傳送至：
Writing to "note.log"	正在寫入「note.log」
note.log	note.log
view: %d loop: %d cel: %d posn: %d %d pri: %d OnControl: $%x Origin on: $%x	view: %d loop: %d cel: %d posn: %d %d pri: %d OnControl: $%x Origin on: $%x
Airplane	飛機
Starting Room	起始房間
Inside, a woman sits behind a desk.	裡面，一位女士坐在辦公桌後方。
A sign in the window says, "Now OPEN for business. Please come in!"	窗口的告示牌寫著：「本店營業中，歡迎光臨！」
The entrance door is to the left. Just walk near it.	入口在左邊，走近就行了。
Through the door you see an exclusive mens clothing store. (And, a beautiful female clerk!) A sign says they accept any form of U. S. currency.	透過門你看到一間高級男裝店（還有一位漂亮的女店員！）。告示牌寫著他們接受任何形式的美金。
Everytime you try to knock, it opens itself!	每次你想敲門，它自己就開了！
Through this door, you see a store.	透過這扇門，你看到一間店。
A small, discreetly lettered sign on the door says: "No hair loss too great."	門上一塊不起眼的小告示牌寫著：「再嚴重的落髮都不是問題。」
"Come in. It's open!"	「進來吧，門沒鎖！」
This door should be locked, as it leads to someone else's cabin. (But, it's not!)	這扇門通往別人的艙房，照理該鎖著才對（但它沒鎖！）。
You may have heard a soft, "Come in." (But you're not sure.)	你好像聽到一聲輕輕的「請進」（但你不太確定）。
Inside you see lines of businessmen waiting to buy tickets.	裡面排著一列列等著買票的商務人士。
There is a barely perceptible, blue gate in the east wall under that painting.	東牆那幅畫下方，有一道幾乎看不出來的藍色小門。
The gate is controlled by the Customs Official standing behind the counter.	這道門由櫃檯後方的海關人員控制。
The gate is locked. Try talking to the friendly looking gentleman behind the counter.	這道門鎖著。試著跟櫃檯後那位看起來很友善的先生談談。
Most people never knock on a gate!	一般人才不會去敲一道門欄！
When the man releases the gate, it opens just by walking near it.	等那位先生放行後，只要走近它就會自動打開。
The low blue gate leads back to the Customs Inspection area.	這道低矮的藍色小門通往海關檢查區。
Knock. Knock. (No one's there!)	叩叩。（沒人在家！）
Right now, it's locked up tight!	現在鎖得死死的！
Have the man at the desk open it for you!	請櫃檯那位先生幫你打開！
Give her your best line...	使出你最厲害的把妹台詞……
Uh, I dunno.	呃，我不知道。
gamefile.sh	gamefile.sh
Locale	地區設定
An Al Lowe Production	艾爾·洛製作
This game is paused.	遊戲已暫停。
Ok. I'm back.	好，我回來了。
Use the mouse or the left and right arrow keys to suit your taste.	用滑鼠或左右方向鍵調整成你喜歡的樣子。
Filth-O-Meter	下流指數表
Dirtier	更下流
Cleaner	更純潔
Enter your favorite trite phrase:	輸入你最愛的老哏台詞：
Use the mouse or the left and right arrow keys to select the speed of moving characters.	用滑鼠或左右方向鍵選擇角色移動速度。
Use the mouse or the left and right arrow keys to adjust the volume.	用滑鼠或左右方向鍵調整音量。
Feature	功能
