"Yes, I know, big boy," says Mama Bimbo. "I was hopin' you'd come next door!"	「是啊，我知道，大帥哥，」賓波媽媽說。「人家還盼著你會過來隔壁咧！」
There's nothing in there that you know how to use!	那裡面沒有你會用的東西！
"Well, well, well; what have we here?" says the woman on the bed.	「哎呀哎呀哎呀，這是什麼呀？」床上的女人說。
Uh, oh, Larry. You've been caught entering someone else's stateroom.	糟了，賴瑞，你闖進別人房間被逮個正著。
"Why, I do believe it's that darling young man that my daughter won on TV!" says the woman.	「哎呀，這不就是我女兒在電視上贏來的那個小可愛嗎！」女人說。
Good lord! She's Bachelorette Barbara's mother!	天啊！她是單身女郎芭芭拉的媽媽！
"Poor little Barbie got to feeling poorly just as the cruise was about to start, so I decided to 'borrow' her ticket and come along instead!"	「可憐的小芭比在遊輪要出發時剛好身體不舒服，所以我就決定『借』她的票，自己來啦！」
Your mind quickly envisions "Paradise Lost."	你腦中瞬間浮現「失樂園」的畫面。
"I hope you don't mind: I convinced the purser that it was in his best interests to assign us to adjoining cabins! I'm sure I can make your voyage enjoyable!"	「希望你別介意：我說服事務長，讓我們住相鄰的艙房對他比較有利！我保證能讓你這趟航程過得愉快！」
"I really want to get to 'know' you (if you get my drift). After I saw you win that Lottery show, I thought you were just about the cutest thing I'd ever seen!"	「人家真的很想好好『認識』你（你懂我的意思吧）。自從看到你在那個樂透節目贏獎之後，我就覺得你是我見過最可愛的小東西！」
"Except for my Mister, of course (may he rest in peace). He was a good man, and usually quite sturdy, but one day his heart just couldn't take it any more!"	「當然啦，我家那口子除外（願他安息）。他是個好人，身子骨通常也挺硬朗，可是有一天他的心臟就是撐不住了！」
You wonder why it is necessary for you to learn this.	你搞不懂為什麼有必要知道這件事。
"Honey, any time you want to come over and see Momma, you just feel free to pop on through that doorway, ya hear?"	「甜心，你什麼時候想來看媽咪，儘管從那扇門過來，聽到沒？」
She attempts to give you a cute, girlish smile.	她試著對你露出一個可愛的少女式微笑。
(She fails.)	（失敗了。）
"Say, look who's back!" says the Mother. "It's my little friend from next door! Came over for a little action, did we? Well, you've come to the right place, big boy!"	「哎呀，看看誰回來啦！」媽媽說。「是我隔壁的小朋友嘛！是來找點刺激的吧？嘿，你可找對地方啦，大帥哥！」
You've been caught in someone else's stateroom!	你闖進別人房間被逮到了！
You decide to make a run for the door!	你決定拔腿衝向門口！
"Yep, I've been lookin' for a man like you ever since my Mister had his big one. Whaddaya say we have a little fun? You do like havin' fun, doncha?"	「沒錯，自從我家那口子『掛』了以後，我就一直在找像你這樣的男人。咱們來找點樂子怎麼樣？你喜歡玩樂吧，對不對？」
"Hop over there on the bed, baby."	「快上床來吧，寶貝。」
"Now you just get comfortable in those chromium chains and handcuffs while I slip into something a little more comfortable myself," she says, opening her closet. "Let's see, possibly a little something in mink-lined leather would be nice..."	「你就舒舒服服地戴上那副鍍鉻鎖鍊和手銬吧，我也去換件更輕鬆的衣服，」她一邊說一邊打開衣櫥。「讓我瞧瞧……來件貂皮內裡的皮衣應該不錯……」
Mama proceeds to have her way with you repeatedly.	媽媽一次又一次地對你為所欲為。
Too bad that "her way" is not "your way!"	可惜「她的玩法」不是「你的玩法」！
(You can see why this broad's a widow!)	（你終於明白這女人為什麼會守寡了！）
"Hi, sweetie!" says Mama.	「嗨，甜心！」媽媽說。
"Back to play?"	「回來找樂子啦？」
You find women sexy.	你覺得女人很性感。
(But in this case, you make an exception!)	（不過這次你破例了！）
You allow yourself to be seduced by the beautiful woman and quickly become close friends, then head for the ship's fantail where she parks her private helicopter. A short, romantic chopper ride across the South Pacific is followed by an intriguing look at her impressive garage door, hidden suspiciously by a mountain waterfall.	你讓自己被這位美麗的女人迷惑，兩人很快就打得火熱，接著前往船尾甲板，她把私人直升機停在那兒。一段浪漫的南太平洋直升機之旅後，你們降落，一探她那扇引人遐想的車庫門，那扇門居然巧妙地藏在一座山間瀑布後面。
Later, that night...	當天晚上稍後……
"Hey, baby," you cry, "wait for me!!"	「嘿，寶貝，」你大喊，「等等我！！」
They are all too busy sunbathing to talk to you.	她們都忙著做日光浴，沒空理你。
There's only one deck chair left.	只剩下一張甲板椅了。
The webbing has stretched considerably since you plopped down!	自從你一屁股坐下去之後，那張帆布椅已經被撐得鬆垮垮的了！
Just think how ugly he must look from underneath!	想想看從底下看他一定有多醜！
Your botanical investigation leads to nothing.	你的植物學調查毫無所獲。
Everything around you looks wet.	你周遭的一切看起來都濕答答的。
You're too busy watching your life pass before your eyes!	你正忙著看自己的一生在眼前跑馬燈呢！
You look straight up and see lots of blue sky.	你抬頭直望，看到一大片藍天。
Doesn't that pool look refreshing?	那座泳池看起來是不是很消暑？
There is one empty chaise lounge by the pool.	泳池旁有一張空的躺椅。
You are!	你就是啊！
Good idea, Larry.	好主意，賴瑞。
Try stepping into the pool first!	先試著踏進泳池吧！
You can't. You're too busy drowning!	你辦不到，你正忙著溺水呢！
You try repeatedly to dive into the concrete pool deck with no success!	你一再嘗試往水泥泳池甲板跳水，全都以失敗收場！
Not here! You might hit the edge of the pool.	別在這裡跳！你可能會撞到池邊。
This is too comfortable for you to change positions now!	這姿勢舒服到你現在懶得換了！
You're not properly dressed for sunbathing; where's your swimming suit?	你這身打扮不適合做日光浴啊，你的泳褲呢？
Not now! There's someone coming.	現在不行！有人來了。
Nah. That's unnecessary.	算了，沒這個必要。
"Hi ya, beautiful," you tell her. %s	「嗨，美女，」你對她說。%s
To whom are you speaking? There are no girls here.	你在跟誰說話啊？這裡根本沒有女生。
You have always loved bathing suits with the consistency of facial tissue!	你一直很喜歡那種薄得跟面紙一樣的泳裝！
Where? There's nothing here but guys.	哪裡？這裡只有一堆男的。
Next time, you might try swimming in something other than a thick polyester white leisure suit!	下次也許可以試著別穿著厚重的白色聚酯纖維休閒西裝去游泳！
Why jump in the water if you're not going to swim?	不游泳幹嘛跳進水裡？
Surely you learned to swim when you were a little dorker?	你小時候當個小呆瓜的時候，總該學過游泳吧？
That was refreshing!	真是暢快啊！
Ah! Seems like a lovely day to catch a few rays.	啊！今天真是曬曬太陽的好天氣。
It's a good thing you applied that sunscreen!	還好你有擦防曬乳！
Those tropical UVs can be deadly!	熱帶的紫外線可是要人命的！
"Why, hello there, big fella," says the beautiful blond with the body like a brick shipyard, "why are you hanging around here? I've been looking for someone just like you for a long time. Why don't you come back to my place, and you won't have to hang around all alone ever again!"	「哎呀，你好啊，大帥哥，」那位身材火辣、像座磚砌船塢一樣結實的金髮美女說，「你怎麼一個人晃來晃去？我找像你這樣的人找好久了。要不要跟我回家，這樣你就不用再自己一個人晃了！」
(Geez, Larry. You've finally found yourself a live one!)	（天啊，賴瑞，你終於釣到一條活魚了！）
"Come on, Samson, I just can't wait to get you all alone!"	「來吧，參孫，人家等不及要把你一個人佔為己有了！」
You meet the lovely blond on the ship's stairs, quickly become dear friends, then head for the fantail where she parks her private helicopter. A romantic, moonlight chopper ride across the South Pacific is followed by an intriguing look at her impressive garage door, which looks suspiciously like a mountaintop waterfall.	你在船上的階梯遇見這位可愛的金髮女郎，兩人很快就成了知心好友，接著前往船尾甲板，她把私人直升機停在那兒。一段月光下橫越南太平洋的浪漫直升機之旅後，你們一探她那扇引人遐想的車庫門，那扇門看起來活像座山頂瀑布，藏得可疑極了。
"Hey, baby," you cry, "wait for me! I think I love ya!"	「嘿，寶貝，」你大喊，「等等我！我想我愛上你了！」
"Hi ya, beautiful," you tell her. %s Where'dja get that dress?	「嗨，美女，」你對她說。%s 你這件洋裝哪買的？
Too bad she couldn't afford to buy a complete dress!	可惜她沒錢買件完整的洋裝！
She looks like she has something you need, Larry.	賴瑞，她身上好像有你需要的東西。
(And vice versa.)	（反之亦然。）
A beautiful woman is entering the bar, and it looks like she's heading for you, Larry	一位美女走進酒吧，看起來是朝你走過來的，賴瑞
BOING!	咚！
He looks extremely bored.	他看起來無聊透頂。
All of the tables are occupied by people enjoying themselves.	所有的桌子都被玩得很開心的人佔滿了。
(And they don't want to be bothered by you!)	（而且他們也不想被你打擾！）
There's something moving out there!	外面有東西在動！
Oh, wait. That's just the ship; this room is revolving!	喔，等等，那只是船而已，這房間本身在旋轉！
You've always loved black lights.	你一直很喜歡黑燈。
Shouldn't you turn off this computer if you're going to watch television?	你要看電視的話，不是該先把這台電腦關掉嗎？
The bartender is looking at you, expecting you to order a drink.	酒保正看著你，等你點杯酒。
There is a handsome bartender behind the bar and one empty stool in front of it.	吧台後面有位帥氣的酒保，吧台前有一張空的高腳椅。
There is a complimentary bowl of spinach dip at the left end of the bar.	吧台左邊擺著一碗招待的菠菜沾醬。
The spinach dip resides in a bowl made of sourdough bread, and looks delicious.	這碗菠菜沾醬盛在酸種麵包做的碗裡，看起來很美味。
The ship's revolving nightclub has a television set behind the bar and only one empty stool.	這間船上的旋轉夜店，吧台後面有台電視，只剩一張空的高腳椅。
There's only one seat available to you, Larry: that empty stool at the bar.	賴瑞，你只有一個位子可以坐：吧台那張空的高腳椅。
"Hi," you say to the bartender with a smile. %s	「嗨，」你微笑著對酒保說。%s
"Thanks for telling me," he responds sarcastically.	「謝謝你告訴我啊，」他語帶諷刺地回答。
(Well, that didn't work Larry!)	（嗯，賴瑞，這招沒用啊！）
"Hi, you bevy of beautiful babes," you say to the women at the bar, flashing your best smile. %s	「嗨，各位美女們，」你對吧台的女生們說，露出你最帥的笑容。%s
"Why don't you join hands and try communicating with the living?" she asks sarcastically.	「你要不要找人牽手來跟活人溝通看看啊？」她語帶諷刺地問。
"What an asshole," she tells her friend.	「真是個混蛋，」她跟朋友說。
There's no one here interested in talking to you. Perhaps you could talk to the bartender.	這裡沒有人有興趣跟你講話，也許你可以找酒保聊聊。
"We're all out of that," says the bartender. "Would you like a mixed drink?"	「那個賣完了，」酒保說。「要不要來杯調酒？」
Ok. You dip a little sourdough bread into the mayonnaise-rich dip. Say! This is tasty. You ravenously devour the entire bowl, consuming approximately a quart of mayonnaise in the process and blowing your diet for the next month. Geez, Larry; you could have left a little for the other people here!	好的。你抓了一點酸種麵包沾了點美乃滋味十足的沾醬。哇！真好吃。你狼吞虎嚥地把整碗都吃光了，過程中大概吃下一夸脫的美乃滋，把接下來一個月的減肥計畫都毀了。天啊，賴瑞，你好歹也留一點給其他人吧！
You grab the loaf of french bread filled with spinach, mayonnaise and spices. Umm, good!	你抓起那條裡面塞滿菠菜、美乃滋和香料的法國麵包。嗯，好吃！
"Do you have any drinks with parasols and fruit?" you ask the bartender.	「你們有沒有插著小紙傘、加水果的那種飲料？」你問酒保。
"But, of course," he replies, "allow me to fix you the speciality of the house..."	「那當然，」他回答，「讓我為你調一杯本店招牌……」
"Heavy on the pineapple, ok?" you ask.	「鳳梨多加一點，好嗎？」你問。
"No problem," he says. "Somehow, I would have guessed that!"	「沒問題，」他說。「不知怎的，我就猜到你會這麼說！」
