("Like you know" it seems obvious her elevator doesn't reach her penthouse!)	（「你知道的嘛」，很明顯她那部電梯到不了頂樓——腦筋不太靈光！）
"Why, beautiful, if you were with me you wouldn't have to worry about any ol' breakdown. We'd be cruisin' in my brand new Porsche, and you wouldn't have a care in the world."	「嘿，美人兒，要是妳跟我在一起，就不用擔心什麼故障拋錨。我們會開著我的全新保時捷兜風，妳什麼煩惱都不會有。」
"Besides, if something did happen to your heel, I'd just sweep you up in these muscular arms and carry you wherever you wanted to go! When you're a top notch physical specimen like me, a light little feather like you would be a breeze."	「而且啊，就算妳的鞋跟真出了什麼事，我這雙壯碩的手臂一把就能把妳抱起來，想去哪就帶妳去哪！像我這種一流的猛男，抱妳這種輕如羽毛的小妞根本不費吹灰之力。」
(You're sure not even this mental midget would fall for a cornball line like that!)	（你敢肯定，就連腦袋這麼不靈光的她，也不會被這種老掉牙的台詞打動！）
"Geeeeez, how romantic!" she gushes. "What more could any girl want?"	「哎唷好浪漫喔！」她陶醉地說。「哪個女生還會奢求更多呢？」
"Well, bachelor, you're 'number one' with me!"	「好啦，單身漢，你在我心裡就是『第一名』！」
(So much for your theory, Larry!)	（賴瑞，你的理論看來要破功了！）
"And now, how about you, bachelor number two?" she asks you. "How would you solve this puzzle?"	「那現在換你了，二號單身漢？」她問你。「你會怎麼解開這個難題？」
Ok, Larry, that's your cue. You're ON!	好了，賴瑞，輪到你上場了。開麥拉！
"Well, Raguka Larry," prompts Biff Barf, "we're waiting for your answer!"	「好啦，拉古卡賴瑞，」比夫·巴夫催促道，「我們等你的答案呢！」
"Uhhh, well, er," you stumble, "%s"	「呃……那個，欸，」你結結巴巴地說，「%s」
"Who let in that jerk?!" Barbara squeals. "What a putz!"	「是誰放這個混蛋進來的？！」芭芭拉尖聲叫道。「有夠遜咖！」
Barbara attempts to assume an intelligent expression. "Now how about you bachelor number you know three?"	芭芭拉努力擺出一副聰明樣。「那現在換你了，你知道的，三號單身漢？」
"Bachelorette Barbie, my deepest, personal feelings are that you are far too sexy for me ever to allow you to leave my highly-expensive, beachfront, swinging bachelor apartment."	「芭比小姐，我內心最深處的真實感受是，妳實在太性感了，性感到我絕不會讓妳離開我那間超貴、面海、時髦的單身公寓半步。」
"You and I would spend all our time together alone, sharing each other in every way (if you know what I mean)!"	「妳我會獨處到天荒地老，用各種方式分享彼此（懂我意思吧）！」
(How's that for a way with words?)	（這番口才如何？）
"Oooooh, how sexy!" she gushes. "What more could any girl want?"	「噢好性感喔！」她陶醉地說。「哪個女生還會奢求更多呢？」
"You may be bachelor number three on this program, but you're 'number one' in my heart!"	「你在節目上是三號單身漢，但在我心裡你就是『第一名』！」
(Do you think anyone's still watching this tripe?)	（你在想，還會有人在看這種爛節目嗎？）
"Barbara, in my opinion you've just asked one of our best questions ever," says Biff Barf. "Now, do you think you could come up with another great question?"	「芭芭拉，依我看，妳剛剛問的可是史上最棒的問題之一，」比夫·巴夫說。「那妳覺得，能不能再想出一個精彩的問題呢？」
Once again, Barbara burns off a few million brain cells attempting to rise to the occasion.	芭芭拉又燒掉了幾百萬個腦細胞，努力想撐起場面。
"Ok like thanks Biff ya know," says Barbara. "Bachelor number one, like this one's for you!"	「好啦就是謝啦比夫你知道的，」芭芭拉說。「一號單身漢，就是這題給你！」
