You open the bottle of hair rejuvenator and pour it onto the ground by your feet.	你打開生髮水的瓶子，把它倒在你腳邊的地上。
(What a waste!)	（真是浪費！）
This area is not conducive to bombing. Try again somewhere else.	這個地方不適合丟炸彈，換個地方試試吧。
You can't. The bag is securely stuffed into the neck of the bottle of hair rejuvenator.	不行，袋子已經緊緊塞進生髮水瓶口了。
You slide the bottle of hair rejuvenator into your airsick bag.	你把生髮水瓶塞進你的嘔吐袋裡。
Realizing this will accomplish nothing, you remove it again.	你發現這樣做根本沒用，於是又把它拿出來。
You have no matches with which to light anything!	你身上沒有火柴，沒辦法點燃任何東西！
Do you have that?	你有那個東西嗎？
You strike a match and watch the airsick bag go up in flames. Whee!	你劃燃一根火柴，看著嘔吐袋燒了起來。喔耶！
You rapidly explore the interior of a volcanic crevice before discovering the pool of molten lava at its bottom.	你迅速探索火山裂縫內部，接著發現底下有一灘熔岩。
You extract the bottle of hair rejuvenator from your pocket and remove the cap. Now what?	你從口袋裡拿出生髮水瓶，打開瓶蓋。接下來呢？
But, now you realize: there's something you've forgotten!	但這時你才發現，你忘了一件事！
(But, what?!)	（但是，是什麼事？！）
You insert the airsick bag into the neck of the bottle of hair rejuvenator.	你把嘔吐袋塞進生髮水瓶口。
You are now holding a bottle full of highly flammable liquid, with a burning wick made from an airsick bag.	你現在手上拿著一瓶裝滿易燃液體的瓶子，瓶口插著一條用嘔吐袋做成的燃燒引信。
Yes, really!	是的，真的！
You dispatch your Larrytov cocktail on its merry mission with a hearty grunt!	你使勁哼了一聲，把你的「賴瑞土製汽油彈」派上愉快的任務！
You toss the bottle of hair rejuvenator into the deep crevice.	你把生髮水瓶丟進深深的裂縫裡。
You feel a deep rumbling as your homemade bomb explodes, weakening an old lava tube deep within the earth. This could be extremely dangerous!	你感覺到一陣深沉的轟隆聲，你的自製炸彈爆炸了，震鬆了地底深處一條古老的熔岩通道。這可能非常危險！
The force of the explosion has also caused the elevator door to open!	爆炸的威力也把電梯門震開了！
